GSM509553 GSM509554 GSM509555 GSM509558 GSM509547 GSM509548 GSM509549 GSM509550 GSM509551 GSM509552
200006_at 9.78512858769403 9.42754875441949 9.54901895324044 8.97729751900112 9.15133854949539 9.31700380375808 9.58669021637798 9.06008364788262 9.39390931340854 9.45125625466892
200007_at 9.79020023083686 9.89789950769594 9.86715649297667 9.71377458278989 9.77220222869712 10.0848088749605 10.2346172955644 9.81589611504313 9.63252634713019 9.75757797484006
200008_s_at 5.16500114205396 5.17570851087567 5.13559376540162 5.42645290664014 5.43439449401285 5.69383845074645 5.34415846255228 5.4015141189361 5.20245940329422 5.07281216269935
200009_at 8.74698697301297 8.73441124201473 8.78929530765988 8.27833887515383 8.74272663508735 8.7578341792073 8.86791312914569 8.48794611112974 8.54803397324969 8.575747356894
200010_at 9.92796642950821 9.56194908078505 10.0383455052318 9.72424165060288 9.54729346762343 9.7269917756875 9.53009436728978 9.94247617016988 9.78500321187993 9.77171366067677
200011_s_at 8.86833895163054 9.10927941146395 9.22379433239946 8.85058959281035 8.94628153116375 9.25435628902606 9.16086625796511 9.05989669542199 9.01183922617592 9.1058209161129
200012_x_at 11.5519216776893 11.5282496481184 11.7095778163772 11.5856053533132 11.3374240110874 11.6560084924787 11.4772201756613 11.540397347857 11.5087767828838 11.4920208329849
200013_at 10.4864606819441 10.3376508108977 10.5576478009796 10.1519028485574 10.0978754155466 10.2850595574188 10.4518915148319 10.3384822495512 10.3201600842739 10.3257864015675
200014_s_at 7.8473251267438 7.69265176722796 7.65312565550485 7.33760628497634 7.45790516881117 7.3630366769817 7.70946292259828 7.56155713909285 7.629164691359 7.84617861319279
200015_s_at 8.98780944321562 8.96934977555962 9.31697956725233 9.13481011229706 9.02894685404076 9.42376108162844 8.79764078399068 9.66870917171038 9.45639288132193 9.14765546570351
200016_x_at 10.4637871290201 10.0906670659323 10.6292122045566 10.4949112970182 10.3795608513126 10.4286019495936 10.1618452570166 10.5389511641229 10.7035829002739 10.4311011023599
