GSM506015 GSM506016 GSM506017 GSM506018 GSM506021 GSM506022 GSM506013 GSM506014 GSM506019
200050_at 7.81947325983022 7.48465242777252 7.36219307805082 8.13801317474676 7.99773648596927 7.63778500399716 7.79042804744536 7.72237030395791 8.10041463754623
200051_at 6.67605751286619 6.67335719630396 6.77171246668145 6.64703487203751 6.87384357900547 6.13902606026159 6.5121523574869 6.67335719630396 7.03703746007896
200052_s_at 7.24172727925295 7.17762977225244 6.88137140042166 7.07187874228564 7.25554084868705 6.82871906588802 7.12630642395235 7.09546990632467 7.054091419074
200053_at 9.27147843976226 9.13186243788867 8.99449363386327 9.06833411519805 8.97624772495329 9.31806156024151 9.37974008217004 9.39063697794036 9.03743312913879
200054_at 7.49608328656204 7.3644817533942 7.45893851920685 7.35691106319984 7.7433556519554 7.05531459511001 7.42268151242184 7.44414797511116 7.42268151242184
200055_at 9.79337921896997 9.01314446448989 9.46245136403575 9.53097795276016 9.58145635579183 9.47286216502079 9.40940495338131 9.47286216502079 9.84126056195581
200056_s_at 4.47380663589806 4.52682697005279 4.36887445230806 4.5318274758838 4.67372964017643 4.44743771422578 4.67575548553768 4.56418373420865 4.76959392228407
200057_s_at 10.0019678004876 9.82104141194793 9.78220821628085 9.87594748444642 9.93137382128452 9.87594748444642 9.87594748444642 9.85890646509924 9.91405795896664
200058_s_at 8.65429143469601 8.30310110695332 8.06959703853656 8.25140510073822 8.25140510073822 8.36543829580352 8.233813492725 8.26549679935585 8.23801855854141
200059_s_at 10.845754306118 10.7660661164803 10.3287721980083 10.9064947534043 10.9620774671363 10.7165836740921 10.7669970842436 10.8979541600738 10.3905651917244
200060_s_at 9.41900894195913 9.25268104642977 9.26054056591981 9.29201439468971 9.25424588562475 8.99793505300355 9.29201439468971 9.29201439468971 9.50725315629331
200061_s_at 12.0065318786097 11.9949580348606 11.6193736076599 12.1415851509326 12.0006369953226 11.7732732254197 11.9213847311104 11.9295396284485 11.8221643662822
200062_s_at 11.6152691411058 11.2928533202587 11.543364958938 11.7599504744025 11.5808993404092 11.3953924636104 11.4051538412161 11.5687457460658 11.5064632757253
200063_s_at 9.88955625496911 9.59602273563844 9.57963831867109 9.69992875810559 10.0030279881309 9.30408348104682 9.54644171716507 9.69992875810559 9.41870453965352
200064_at 11.6087330354922 11.7839157102504 11.4133917487548 11.0752297551208 11.9522857539985 10.9548608372002 11.6685061410937 11.7286886390598 11.4228013826065
200065_s_at 10.2929479553816 9.93507350346565 10.027583059491 9.96714005226046 10.0719261116012 9.79033856717008 10.1264031036474 10.3949388175435 9.97222345573299
200066_at 7.61908678338874 7.42846785595979 7.30523727005216 7.36352401852471 7.53210362109847 7.62788196431167 7.42846785595979 7.51377310744667 7.42846785595979
200067_x_at 9.46965977446495 9.59376615215881 9.43539446154184 9.68618133594839 10.1563501349345 9.56295456689487 9.69731604446618 9.60821469368724 9.80184089328159
200068_s_at 11.7903576104985 11.5785568636761 11.5379935929798 11.5689596222876 11.6729291078554 11.4617514598779 11.7672836817717 11.4274245609245 11.7477616987917
200069_at 5.59340149063773 5.59215534863271 5.5563024427861 5.66274417075033 5.82402810925315 5.50185530772901 5.62833131810102 5.59672286553107 5.78723913967722
200070_at 7.25728244113268 7.31909014710658 7.32137816197257 7.47425362888924 7.61406376287316 7.52044929440836 7.35461485141195 7.35461485141195 7.63577811719337
200071_at 6.44263916940988 6.39624911337309 6.15848517118303 6.49915671877746 7.03654608663817 5.98030295255882 6.29018697714655 6.44263916940988 6.56497539419333
200072_s_at 8.82789660650992 8.88764282582988 8.53325224157392 8.52255546780624 8.95634472687258 8.65603298593287 8.43662375465678 8.49525964740231 8.89377240260825
200073_s_at 7.11486422317836 6.98044625341175 6.94573206968892 6.9932438562368 6.88754922238965 6.83906196491301 7.33336732268192 6.98044625341175 7.05562525468637
200074_s_at 10.0693526615851 9.34672493360869 9.29617469415093 9.58285255012763 9.53619527501489 9.62350514493935 9.53619527501489 9.96195814016721 9.3257185957484
200075_s_at 9.0470182842012 8.68501684165525 8.47478653575108 8.97488043015864 9.17440050108936 9.00825962969874 9.00984709363981 9.18022109753334 9.00984709363981
200076_s_at 8.25529837700228 7.92353443501313 8.11504273384654 8.11682060974683 8.15415308116296 8.22698086114233 8.22698086114233 8.34811828707369 8.28813218652996
200077_s_at 11.4731069931027 11.1376612671857 10.8692647606702 11.0391432227706 11.159609244211 10.9827911662738 11.2460599428921 11.1869383220373 11.0839574231888
200078_s_at 9.79504374961314 9.3245259520681 9.44838298224346 9.09092249862499 9.59041242623638 9.42669792162492 9.968965163633 9.8308833306729 9.81406271725269
200079_s_at 8.82220852329346 8.61829003112192 8.41223324871813 8.47761737912784 8.71225130024033 8.1364355193848 8.52701899888993 8.80798432413324 8.61901144636992
