Entrez.Gene	Symbol	GSE7621_FC	GSE8397_FC	GSE20141_FC	GSE20164_FC	GSE20292_FC	GSE20163_FC	GSE20333_FC	GSE7621_statPval	GSE8397_statPval	GSE20141_statPval	GSE20164_statPval	GSE20292_statPval	GSE20163_statPval	GSE20333_statPval	metaZscore	metaPval	effect	significance	metaPvalBonf	metaPvalFDR	PD_Avg_Log_FC	PD_Avg_FC
5411	6817	-0.0674900052452001	0.549899674896942	NA	0.0562440184186102	-0.0893340698940932	-0.319246870639207	NA	0.755036155001405	0.0350337746532281	NA	0.938503358923648	0.815987800226482	0.283807268346699	NA	-0.115578231469477	0.90798681603753	321	63	1	0.95937067512621	0.0260145495074104	1.01819546816327
4084	59	0.335002954722197	0.244674858841995	-1.00472235248673	0.206214527484326	-0.261806541889722	-0.064671713556292	0.209786401527332	0.477867907659631	0.455650351685086	0.320399321847078	0.908847221038138	0.680259908397008	0.434284644217916	0.929399992157675	-0.115487532828693	0.908058701718635	781	79	1	0.95937067512621	-0.0479316950509849	0.967322126766192
6328	1218	-0.0254568311325043	NA	NA	NA	NA	NA	NA	0.908078322875687	NA	NA	NA	NA	NA	NA	-0.115462776849736	0.908078322875687	191	151	1	0.95937067512621	-0.0254568311325043	0.982509436479569
5646	166	0.302046564083065	0.821268951685471	-1.12644703912485	0.290144369433731	-0.447695317445582	-0.0229126961110477	NA	0.46331844122315	0.0418077908152624	0.138411970807026	0.773802260097519	0.434989269143299	0.872946185926452	NA	0.115146818022973	0.908328751251599	780	45	1	0.959537416705991	-0.0305991945798688	0.979013599384615
10179	10184	NA	NA	NA	NA	NA	-0.0209106278709505	NA	NA	NA	NA	NA	NA	0.9084298529876	NA	-0.115019263908285	0.9084298529876	422	203	1	0.959544073550833	-0.0209106278709505	0.98561039167949
9851	9892	NA	NA	0.0644791735274186	NA	NA	NA	NA	NA	NA	0.908520257248333	NA	NA	NA	NA	0.114905207753916	0.908520257248333	445	191	1	0.959544073550833	0.0644791735274186	1.04570736145375
2196	5415	0.0903105608907113	NA	NA	NA	NA	-0.135130816904418	NA	0.726205242350923	NA	NA	NA	NA	0.625862130012166	NA	-0.114691916414384	0.908689321412572	695	149	1	0.959595241881805	-0.0224101280068534	0.984586505769514
2959	1644	-0.286311457868423	0.235855155044706	NA	-0.43173035293818	0.187981631550985	0.0746620380102936	NA	0.360301398608939	0.480033600232268	NA	0.42965432891018	0.623671235197756	0.679495890290304	NA	0.114597428020051	0.908764218422002	298	101	1	0.959595241881805	-0.0439085972401237	0.970023364773607
9392	2424	-0.0755205244991686	0.641520062894474	NA	NA	-0.212709696704899	-0.0555611112723078	-0.173219769522884	0.736357944017534	0.0110259554333304	NA	NA	0.539798094318495	0.883017393200336	0.92952212894874	-0.114493591625465	0.908846526136656	300	70	1	0.959595241881805	0.0249017921790429	1.01741043209997
4519	5505	0.564817838524839	0.0195894221877193	NA	-0.221771641570056	-0.112852593332246	0.00068418079082555	-0.0288145999280793	0.151777644770464	0.920354388250114	NA	0.664082456507184	0.620336685915392	0.995389147574603	0.981132145313362	0.11435167117292	0.908959023421264	802	100	1	0.95961624051871	0.0369421011121671	1.02593697114586
7645	9537	0.0157808808999471	NA	NA	NA	NA	NA	NA	0.909141127543983	NA	NA	NA	NA	NA	NA	0.114121943401538	0.909141127543983	698	151	1	0.959696077704708	0.0157808808999471	1.01099851692901
721	182	-0.169708105121479	0.257210507723807	NA	-0.35186446041258	0.364408382888165	NA	-0.161796502306186	0.242109241830171	0.329142501030895	NA	0.543378743673756	0.248922071710358	NA	0.929399992157675	0.113829148638999	0.909373231492601	294	102	1	0.959696077704708	-0.0123500354456546	0.991476143580751
9214	2146	0.0757294399349044	NA	NA	NA	NA	NA	NA	0.909421938263624	NA	NA	NA	NA	NA	NA	0.113767707203691	0.909421938263624	698	151	1	0.959696077704708	0.0757294399349044	1.0538937596853
6378	7437	0.0992264391622495	NA	-0.401691416953608	NA	NA	NA	NA	0.807850615238448	NA	0.60033605316485	NA	NA	NA	NA	-0.113693158725216	0.909481035902542	642	132	1	0.959696077704708	-0.151232488895679	0.900480856545146
3149	193	0.246597935299985	NA	-1.15584404096704	NA	NA	NA	NA	0.415944130584997	NA	0.165375360472382	NA	NA	NA	NA	-0.113640972582375	0.909522406298152	642	132	1	0.959696077704708	-0.454623052833528	0.729700803342823
10020	10037	NA	NA	NA	NA	0.0249796977125518	NA	NA	NA	NA	NA	NA	0.90965440268294	NA	NA	0.113474469542621	0.90965440268294	431	201	1	0.959696077704708	0.0249796977125518	1.01746537374763
