Entrez.Gene	Symbol	GSE7621_FC	GSE8397_FC	GSE20141_FC	GSE20164_FC	GSE20292_FC	GSE20163_FC	GSE20333_FC	GSE7621_statPval	GSE8397_statPval	GSE20141_statPval	GSE20164_statPval	GSE20292_statPval	GSE20163_statPval	GSE20333_statPval	metaZscore	metaPval	effect	significance	metaPvalBonf	metaPvalFDR
2109	ETFB	-0.0844230504121288	0.902053540832519	NA	-0.110740785946808	-0.21625753244272	-0.34547154357305	-0.219229336404518	0.630359699423339	0.00338623484166507	NA	0.904161581877016	0.635478552653802	0.134844979764296	0.929399992157675	-0.943799529219185	0.345272101236358	-+?----	#!?####	1	0.594797924025127
53405	CLIC5	NA	NA	NA	NA	0.121012035980916	0.0568948815689652	NA	NA	NA	NA	NA	0.677477913155238	0.806571430797714	NA	0.943460861296225	0.345445225517229	????++?	????##?	1	0.594981761254748
27429	HTRA2	-0.182219682151219	NA	NA	-0.186304110974291	0.0238522396962217	-0.1025647497433	0.0509777462632695	0.564071131613243	NA	NA	0.784429360176357	0.887166212238519	0.460382827388459	0.966656249090432	-0.943366141470212	0.345493655420751	-??-+-+	#??####	1	0.594981761254748
11129	CLASRP	-0.227598608289057	NA	NA	NA	NA	NA	NA	0.345598535586705	NA	NA	NA	NA	NA	NA	-0.943161044503113	0.345598535586705	-??????	#??????	1	0.595063480516689
27151	CPAMD8	0.332459413778893	NA	NA	NA	NA	NA	NA	0.345798448078093	NA	NA	NA	NA	NA	NA	0.942770218220193	0.345798448078093	+??????	#??????	1	0.595192632255524
387082	SUMO4	0.173843659975647	-0.0973878359200322	NA	0.0497303186587716	0.128750177987538	-0.0261764117340206	NA	0.310370286242553	0.599806381283447	NA	0.927694351811711	0.599854587471372	0.815509151721328	NA	0.942678847230383	0.345845196098236	+-?++-?	##?###?	1	0.595192632255524
2339	FNTA	-0.286823645086338	1.05474957761354	-1.56269310760005	-0.303557727148158	0.0300892555202878	-0.0514793832987941	-0.0475140799976668	0.280335961318131	0.00233914260730185	0.082593214952802	0.779351260363147	0.952103408957399	0.539462248565014	0.970701208804484	-0.942579327515688	0.345896117821276	-+--+--	#!#####	1	0.595192632255524
4194	MDM4	0.203083746685557	NA	0.0433252221654739	NA	NA	NA	NA	0.421061680992568	NA	0.961947144263603	NA	NA	NA	NA	0.942515984324042	0.345928531419547	+?+????	#?#????	1	0.595192632255524
92335	STRADA	0.0371896529515441	-0.0341428847539262	NA	-0.114109470961816	0.150126454059089	0.10586435584446	NA	0.823531075070069	0.808672931448019	NA	0.875622079635888	0.609967438521722	0.39897316416352	NA	0.942380062415543	0.34599809109526	+-?-++?	##?###?	1	0.595192632255524
9865	TRIL	0.289633363075586	1.45829347394108	0.208893329963534	0.246597956640642	-0.111948124498074	-0.197499526497936	NA	0.493426199756366	0.017771963931323	0.831360419489414	0.868107396164995	0.849104759587662	0.28956264700786	NA	0.9423408045681	0.346018183430542	++++--?	#!####?	1	0.595192632255524
51343	FZR1	-0.118097247595905	-0.448150664681727	NA	0.123994659801021	0.158216581292051	-0.0451891959828004	NA	0.413445685106188	0.0499570727303524	NA	0.897668905679388	0.529578596475743	0.716258709275482	NA	-0.942225625676062	0.34607713677276	--?++-?	#!?###?	1	0.595195235060471
53919	SLCO1C1	0.118431175970717	-0.383017219643528	NA	0.263304076657687	-0.312662477389763	-0.140069667128438	0.0283576614011141	0.82504554483001	0.419468851531373	NA	0.793244656713335	0.474373546312457	0.718581519208638	0.988831279735363	-0.941676641056484	0.346358217834279	+-?+--+	##?####	1	0.595496731276151
11313	LYPLA2	-0.115215819127239	-0.205351613330413	NA	-0.172531744952011	0.0839818669065053	-0.0225628092518146	0.22140216148455	0.417036935108718	0.175524111193943	NA	0.779169308705001	0.730284098717249	0.794964723531987	0.929399992157675	-0.941658749559865	0.346367380756742	--?-+-+	##?####	1	0.595496731276151
3996	LLGL1	-0.0124376697603035	-0.0417699032513301	NA	NA	0.280757450467956	NA	0.154574479163169	0.952155006658391	0.817289693045172	NA	NA	0.414409057543743	NA	0.937414298935745	0.941369669489273	0.346515451159386	--??+?+	##??#?#	1	0.595652472613397
85302	FBF1	0.176874023823143	NA	NA	NA	NA	NA	NA	0.346635102250773	NA	NA	NA	NA	NA	NA	0.941136130322811	0.346635102250773	+??????	#??????	1	0.595759318215709
774	CACNA1B	-0.547328591538275	NA	-0.15133632376866	-0.103777479037723	0.0690237311478619	NA	NA	0.249483293833484	NA	0.833658875381575	0.922990112452298	0.860681294217157	NA	NA	-0.940700882355577	0.34685816669939	-?--+??	#?###??	1	0.596043834716265
7739	ZNF185	NA	NA	NA	NA	NA	0.105760537619384	NA	NA	NA	NA	NA	NA	0.347087216743331	NA	0.940254140537057	0.347087216743331	?????+?	?????#?	1	0.596170226024696
54888	NSUN2	-0.21251919581368	NA	NA	NA	NA	NA	NA	0.347088671293096	NA	NA	NA	NA	NA	NA	-0.940251304166231	0.347088671293096	-??????	#??????	1	0.596170226024696
6652	SORD	-0.236637537931339	1.28355580314653	-1.52139440500322	-0.0282126955295228	-0.0127376373809369	-0.248188683598624	-0.0592714263072622	0.436988738310896	0.00419297487196394	0.0851273770562974	0.981177683039399	0.984684149329988	0.221523076909689	0.985127212433875	-0.940220787841327	0.347104320942578	-+-----	#!#####	1	0.596170226024696
168451	THAP5	0.266759617547053	NA	NA	NA	NA	NA	NA	0.348075886614549	NA	NA	NA	NA	NA	NA	0.938327976627166	0.348075886614549	+??????	#??????	1	0.597739863622797
221184	CPNE2	0.251046154007639	NA	NA	NA	NA	NA	NA	0.348207171593118	NA	NA	NA	NA	NA	NA	0.938072464071741	0.348207171593118	+??????	#??????	1	0.597866232319451
57211	ADGRG6	NA	NA	NA	NA	NA	0.196023949226474	NA	NA	NA	NA	NA	NA	0.348414594305631	NA	0.937668893706753	0.348414594305631	?????+?	?????#?	1	0.597876111603415
9723	SEMA3E	-0.358997154119445	NA	NA	NA	NA	NA	NA	0.34844372109371	NA	NA	NA	NA	NA	NA	-0.937612235628867	0.34844372109371	-??????	#??????	1	0.597876111603415
2395	FXN	-0.196981914205652	NA	NA	NA	NA	NA	NA	0.34844372109371	NA	NA	NA	NA	NA	NA	-0.937612235628867	0.34844372109371	-??????	#??????	1	0.597876111603415
205717	USF3	0.277130293979214	NA	NA	NA	NA	NA	NA	0.34844372109371	NA	NA	NA	NA	NA	NA	0.937612235628867	0.34844372109371	+??????	#??????	1	0.597876111603415
8864	PER2	0.0851107536489719	-0.0735824725695013	NA	-0.0566718254977276	0.0273242063385046	-0.101162132112856	-0.682917181659185	0.793486988608155	0.800326432201866	NA	0.926698639932538	0.960155011183397	0.54394718642843	0.574214172715865	-0.936989763334548	0.34876382357028	+-?-+--	##?####	1	0.598284901184554
4832	NME3	0.18663558281977	NA	NA	NA	NA	NA	-0.0817816098594681	0.356127601195709	NA	NA	NA	NA	NA	0.960371305960403	0.936924411011357	0.348797441425969	+?????-	#?????#	1	0.598284901184554
54681	P4HTM	-0.28123082266663	-0.304994074816747	NA	-0.261929758112705	0.383743707831613	-0.0790708465491541	NA	0.261650717339682	0.295996019584217	NA	0.781716759628386	0.392690758834679	0.761131756677033	NA	-0.936809281373567	0.348856670212468	--?-+-?	##?###?	1	0.598287457256139
401397	LINC00998	0.0154589941515706	NA	-1.10831566726526	NA	NA	NA	NA	0.919921911653132	NA	0.156565211014574	NA	NA	NA	NA	-0.936521477735773	0.349004759600507	+?-????	#?#????	1	0.598442382753674
55833	UBAP2	-0.0659109005032379	NA	NA	-0.0328755904021829	0.449748483358275	0.0812204199998003	-0.0879631201696505	0.784367294694306	NA	NA	0.970180121301381	0.394820938333468	0.599443964726845	0.959445265449831	0.936335530179566	0.34910046016086	-??-++-	#??####	1	0.598493009675894
23583	SMUG1	-0.0995422628104956	0.0561670405050387	NA	-0.0709971480305951	-0.0143147266622954	-0.125968404570937	NA	0.645401454276696	0.743222628738231	NA	0.930039801592931	0.947046297281494	0.330208392655457	NA	-0.936239671835353	0.349149801533563	-+?---?	##?###?	1	0.598493009675894
2115	ETV1	0.658413070805441	-0.270631431895854	NA	NA	-0.0531072055062118	0.194956647255472	NA	0.31456536762557	0.484998576769637	NA	NA	0.888541173804546	0.255372601300522	NA	0.935939435788507	0.349304371338873	+-??-+?	##??##?	1	0.598588213473495
9897	WASHC5	-0.213209328046289	0.530442159209009	NA	-0.254154344533269	-0.344993662497785	-0.0122674219562295	NA	0.474073328463275	0.0655773363491303	NA	0.761946195247142	0.354052498894706	0.959853670536282	NA	-0.93580446422954	0.349373872577597	-+?---?	##?###?	1	0.598588213473495
51263	MRPL30	-0.619194239924886	NA	1.34525623112337	NA	NA	NA	NA	0.0590260704861282	NA	0.0927760039623962	NA	NA	NA	NA	-0.935734387231432	0.349409960961888	-?+????	#?#????	1	0.598588213473495
63894	VIPAS39	0.0823250074914661	0.074356424589193	NA	-0.107423952396323	0.210597187198658	-0.0467882268535362	NA	0.677693180680972	0.674352304316361	NA	0.918457099505923	0.392996906765772	0.580048729418459	NA	0.935683026699265	0.349436412208181	++?-+-?	##?###?	1	0.598588213473495
339287	MSL1	0.456979446375957	-0.744220869269456	-1.35443642462336	0.0160630076200299	NA	-0.203979888331984	NA	0.0503866908735244	0.0311108299355072	0.113619243724251	0.986994953674361	NA	0.43943808717403	NA	-0.935156140850892	0.349707837698785	+--+?-?	#!##?#?	1	0.598910484517624
3760	KCNJ3	0.588676427126148	NA	NA	NA	NA	NA	NA	0.349760867470029	NA	NA	NA	NA	NA	NA	0.935053230810037	0.349760867470029	+??????	#??????	1	0.598910484517624
64151	NCAPG	NA	NA	-0.67132850478052	NA	NA	NA	NA	NA	NA	0.349797939808981	NA	NA	NA	NA	-0.934981293783576	0.349797939808981	??-????	??#????	1	0.598910484517624
9790	BMS1	-0.0844887494540378	0.215115150229022	NA	-0.312132038953498	0.00729975907277769	-0.211666980715327	NA	0.601437714982324	0.401547016339331	NA	0.528864862222438	0.983045265049519	0.338982308532473	NA	-0.934670411133468	0.349958180093954	-+?-+-?	##?###?	1	0.599085851996291
10161	LPAR6	0.110988838913797	0.656638070229497	NA	0.282590135247228	-0.0832533869662804	-0.0436701960250421	0.314062132988951	0.776462178667522	0.197227481862704	NA	0.855689110947424	0.844195147824514	0.816463435212913	0.929399992157675	0.934192148894164	0.350204784864903	++?+--+	##?####	1	0.599408982618124
10693	CCT6B	NA	NA	NA	NA	NA	-0.188493658212789	NA	NA	NA	NA	NA	NA	0.350323452511667	NA	-0.933962082466457	0.350323452511667	?????-?	?????#?	1	0.599513066048868
8724	SNX3	0.344718542971806	0.098246296710613	-1.18841671411167	-0.231618015417835	-0.305690841238981	-0.181577952758255	-0.187286797274687	0.0818858931967375	0.64726734591589	0.167442405882884	0.824449253867885	0.487813935869839	0.285571176423134	0.92952212894874	-0.933801643965218	0.350406221353093	++-----	#######	1	0.599555691159305
29079	MED4	-0.0853010908322691	0.390429531926071	NA	-0.249567183995377	-0.1643639490135	-0.173892627998042	-0.225740958430582	0.760297616484916	0.131700866031986	NA	0.657306425830967	0.768290020437758	0.418854634749098	0.929399992157675	-0.933578963797028	0.350521120685419	-+?----	##?####	1	0.599653269364753
51635	DHRS7	-0.00323794490595475	0.441276470039396	NA	-0.274816732573607	-0.275399233341162	-0.257836023280969	NA	0.988012669548119	0.0797068667908062	NA	0.630797738635488	0.608878715918517	0.189052570231903	NA	-0.93336474666133	0.350631675775364	-+?---?	##?###?	1	0.599679170545149
28512	NKIRAS1	-0.357397864265356	NA	NA	NA	NA	NA	NA	0.350678845915075	NA	NA	NA	NA	NA	NA	-0.933273360446952	0.350678845915075	-??????	#??????	1	0.599679170545149
286451	YIPF6	-0.471265482095242	0.776176751057474	-1.58285329084372	-0.112759847395298	0.158856491850257	-0.813991591737881	NA	0.0955225069418348	0.00179781663058769	0.0775902401886356	0.921834603584743	0.393134918522612	0.12597794380267	NA	-0.933213240631735	0.350709879705038	-+--+-?	#!####?	1	0.599679170545149
119016	AGAP4	0.294702402298904	NA	NA	NA	NA	NA	NA	0.350810113382909	NA	NA	NA	NA	NA	NA	0.933019087249019	0.350810113382909	+??????	#??????	1	0.599751591300727
4885	NPTX2	1.20341507953136	-0.415200624118399	-0.0119490678783043	0.337629250698029	NA	0.158964881525268	NA	0.224660762625557	0.614457748109506	0.987370272314357	0.92747959716185	NA	0.802273392276624	NA	0.932853116115523	0.350895812081592	+--+?+?	####?#?	1	0.599799142987373
23211	ZC3H4	0.0704434739583473	-0.0600700284123388	-1.21097080635331	0.331653090582491	0.0178696489977908	0.226005095241563	NA	0.730844154931677	0.792498654311723	0.289872796639458	0.634665547107904	0.963965094047804	0.117701560074137	NA	0.932577503909623	0.351038152933774	+--+++?	######?	1	0.599943483539463
